match_id,total_time_s,in_play_time_s,out_of_play_time_s,pct_in_play,total_time_min,in_play_time_min,is_pass,is_short_pass,is_long_pass,is_ground_pass,is_not_restart,short_pass_pct,ground_pass_pct,live_pct,sample_id,is_restart_pass,restart_p_m
3754058,5746.575,3556.642,2189.933,61.89,95.78,59.28,1002,408,594,570,901,0.40718562874251496,0.5688622754491018,0.8992015968063872,epl1516,101,1.703778677462888
3754245,5673.998,3146.4440000000004,2527.553999999999,55.45,94.57,52.44,887,312,575,477,790,0.35174746335963925,0.5377677564825254,0.8906426155580609,epl1516,97,1.849733028222731
3754136,5662.202,3108.872000000001,2553.329999999999,54.91,94.37,51.81,901,358,543,467,795,0.3973362930077691,0.5183129855715871,0.8823529411764706,epl1516,106,2.0459370777842114
3754037,5674.736,3725.544999999997,1949.1910000000023,65.65,94.58,62.09,1126,484,642,782,1036,0.42984014209591476,0.69449378330373,0.9200710479573713,epl1516,90,1.4495087775809308
3754039,6026.81,2843.323999999998,3183.4860000000017,47.18,100.45,47.39,840,387,453,384,711,0.4607142857142857,0.45714285714285713,0.8464285714285714,epl1516,129,2.7220932686220722
3754041,5581.436,3611.709,1969.727,64.71,93.02,60.2,1070,521,549,831,1002,0.4869158878504673,0.7766355140186916,0.9364485981308411,epl1516,68,1.1295681063122922
3754042,5667.004,3245.553000000001,2421.450999999999,57.27,94.45,54.09,957,405,552,637,849,0.4231974921630094,0.6656217345872518,0.8871473354231975,epl1516,108,1.9966722129783692
3754043,5691.433,3394.1079999999997,2297.3250000000007,59.64,94.86,56.57,1059,412,648,677,942,0.3890462700661001,0.6392823418319169,0.8895184135977338,epl1516,117,2.0682340463143007
3754045,5691.367,2926.652,2764.7150000000006,51.42,94.86,48.78,905,410,495,489,795,0.4530386740331492,0.5403314917127072,0.8784530386740331,epl1516,110,2.2550225502255024
3754048,5727.967,3568.791000000001,2159.1759999999986,62.3,95.47,59.48,1025,444,581,683,936,0.43317073170731707,0.6663414634146342,0.9131707317073171,epl1516,89,1.496301277740417
3754049,5814.5560000000005,3064.53,2750.0260000000007,52.7,96.91,51.08,917,327,590,451,812,0.35659760087241005,0.49182115594329334,0.8854961832061069,epl1516,105,2.0555990602975727
3754050,5717.148,2922.769,2794.3790000000004,51.12,95.29,48.71,813,312,501,432,703,0.3837638376383764,0.5313653136531366,0.8646986469864698,epl1516,110,2.258263190309998
3754052,5929.396,3026.1710000000003,2903.2249999999995,51.04,98.82,50.44,821,344,477,340,708,0.4190012180267966,0.41412911084043846,0.8623629719853837,epl1516,113,2.240285487708168
3754053,5709.343999999999,3504.194999999999,2205.1490000000003,61.38,95.16,58.4,1008,390,618,663,909,0.3869047619047619,0.6577380952380952,0.9017857142857143,epl1516,99,1.6952054794520548
3754055,5735.799,3648.147,2087.6520000000005,63.6,95.6,60.8,1071,472,599,801,971,0.4407096171802054,0.7478991596638656,0.9066293183940243,epl1516,100,1.6447368421052633
3754226,5844.702,2992.2889999999998,2852.413000000001,51.2,97.41,49.87,878,336,542,477,756,0.3826879271070615,0.5432801822323462,0.8610478359908884,epl1516,122,2.446360537397233
3754014,5764.369000000001,3328.418,2435.951000000001,57.74,96.07,55.47,857,326,531,503,748,0.38039673278879815,0.5869311551925321,0.8728121353558926,epl1516,109,1.9650261402559943
3754091,5729.801,2883.038,2846.763,50.32,95.5,48.05,877,311,566,526,756,0.35461801596351195,0.5997719498289624,0.8620296465222349,epl1516,121,2.5182101977107183
3754135,5798.849,3341.75,2457.099,57.63,96.65,55.7,976,406,570,572,866,0.41598360655737704,0.5860655737704918,0.8872950819672131,epl1516,110,1.9748653500897666
3754293,5905.749,3362.753999999998,2542.9950000000017,56.94,98.43,56.05,855,349,506,510,744,0.408187134502924,0.5964912280701754,0.8701754385964913,epl1516,111,1.9803746654772525
3754339,6202.858,3651.242999999999,2551.6150000000016,58.86,103.38,60.85,975,366,609,646,872,0.37538461538461537,0.6625641025641026,0.8943589743589744,epl1516,103,1.6926869350862777
3754146,5779.331,3366.548000000001,2412.782999999999,58.25,96.32,56.11,925,325,600,482,825,0.35135135135135137,0.5210810810810811,0.8918918918918919,epl1516,100,1.7822135091783995
3754347,5721.579,3257.5679999999998,2464.0110000000004,56.93,95.36,54.29,906,345,561,557,801,0.38079470198675497,0.6147902869757175,0.8841059602649006,epl1516,105,1.9340578375391417
3754255,6057.280000000001,3520.8330000000005,2536.447,58.13,100.95,58.68,998,400,600,584,906,0.40080160320641284,0.5851703406813628,0.9078156312625251,epl1516,92,1.5678254942058623
3754278,5730.169,3308.509999999999,2421.659000000001,57.74,95.5,55.14,1049,465,584,549,932,0.4432793136320305,0.5233555767397522,0.888465204957102,epl1516,117,2.121871599564744
3753979,5900.993,2970.0539999999987,2930.9390000000017,50.33,98.35,49.5,836,311,525,423,726,0.37200956937799046,0.5059808612440191,0.868421052631579,epl1516,110,2.2222222222222223
3753972,5845.604,3568.3339999999985,2277.270000000002,61.04,97.43,59.47,1032,440,592,623,932,0.4263565891472868,0.6036821705426356,0.9031007751937985,epl1516,100,1.6815200941651254
3753978,5839.1720000000005,3312.3500000000013,2526.821999999999,56.73,97.32,55.21,1045,433,612,564,943,0.4143540669856459,0.539712918660287,0.9023923444976076,epl1516,102,1.8474913964861437
3753974,5675.954,3404.802000000001,2271.1519999999987,59.99,94.6,56.75,976,440,537,613,891,0.45081967213114754,0.6280737704918032,0.9129098360655737,epl1516,85,1.497797356828194
